Entry ID,Title,Phase 1,Phase 2,Phase 3,Affiliation,Section,Personnel,Geography,Keywords,Project Area Focus,Project Type,Project Status,Additional Keywords
682,Project 682 Title,True,False,False,Harvard University,"ARTIFICIAL INTELLIGENCE, COLLECTIVE INTELLIGENCE",Under 35 years old,India,LOGISTICS,"South America, Sub-Saharan Africa","Video, Image or Drawing","Complete, unpublished","wrivdxg, upcgahm, yoenhgwm, qpdeomrbdo, wxpxviyo, ddvwli, gvlanto"
683,Project 683 Title,True,False,False,INDEPENDENT,"NATURAL, ARTIFICIAL INTELLIGENCE","Insights from the Global South, LGBTQ leadership, Female leadership",UK,"PUBLIC, TRADITION","Non-Spatial or Dislocated, South America",Panel or Event,"Complete, published or exhibited before","xubo, sodhp, idowcc, fyrayfqa"
684,Project 684 Title,True,False,False,INDEPENDENT,"NATURAL INTELLIGENCE, COLLECTIVE","Insights from the Global South, Under 35 years old",China,EDUCATION,"South America, Europe",Panel or Event,"Complete, unpublished","szgurj, mpzyy, qonbxzgn"
685,Project 685 Title,True,False,False,Oxford University,"ARTIFICIAL INTELLIGENCE, COLLECTIVE INTELLIGENCE, COLLECTIVE",Student leadership,India,"LOGISTICS, SCIENCE","Oceans, Ice, and Atmosphere","Other, Image or Drawing","Complete, published or exhibited before","ananjptj, bctnj, kzfbrj, ctbz, nbrydzj, viat, zxegya, hlubgz, tpjy"
686,Project 686 Title,True,False,False,Stanford University,"ARTIFICIAL, END, NATURAL INTELLIGENCE","Insights from the Global South, Student leadership",Canada,PLANET,South America,Essay,"Complete, published or exhibited before","pkdwrwjtf, vtqn, qrgdbwiy, mmrygvt, nwoaxae, xovzzycijy, fwftlgxml, fzhfaycel, xohuou, jaceyudxw"
687,Project 687 Title,True,False,False,MIT,"COLLECTIVE INTELLIGENCE, COLLECTIVE","Student leadership, Insights from the Global South",UK,"EDUCATION, COMMONS","South America, Middle East and North Africa","Video, Augmented Reality, Virtual Reality, or other Experience",Preliminary Proposal,"wajtzh, poqpihr, shvbgy, jemikmrbdi, yhfne, xakxhxkvw, ogkzqnjwjf"
688,Project 688 Title,True,False,False,MIT,"NATURAL, ARTIFICIAL","Female leadership, Transnational (immigrant, refugee, multicultural) perspective",South Africa,PRACTICE,"Oceans, Ice, and Atmosphere, Central America",Exhibition,Preliminary Proposal,"alxfezsm, suulvt, qbslkkuzb, jsjc, neko"
689,Project 689 Title,True,False,False,Harvard University,"ARTIFICIAL INTELLIGENCE, OUT","Transnational (immigrant, refugee, multicultural) perspective, Female leadership, Student leadership",China,"ENERGY, CARBON",Caribbean,Exhibition,In Progress,"fazj, tgdg, kahtjb"
690,Project 690 Title,True,False,False,Stanford University,NATURAL INTELLIGENCE,"Transnational (immigrant, refugee, multicultural) perspective, Under 35 years old, Student leadership",Brazil,"URBAN, LABOR","Sub-Saharan Africa, Non-Spatial or Dislocated","Video, Exhibition","Complete, published or exhibited before","fhirimn, hftgzrmyxk, wopmatx, mgowbsx, dtznfyeldr, hpxiyfierz, zmuxhj, ahnhk"
691,Project 691 Title,True,False,False,Harvard University,NATURAL,"LGBTQ leadership, Under 35 years old, Insights from the Global South",Australia,URBAN,Central America,"Panel or Event, Essay",In Progress,"omjwmrv, fmjrnzdbwv, uwzgjtrr, ocgr, zhwb"
692,Project 692 Title,True,False,False,INDEPENDENT,"NATURAL INTELLIGENCE, INTRO",LGBTQ leadership,South Africa,DIGITAL,"Middle East and North Africa, Europe",Outdoor Installation,"Complete, published or exhibited before","fuulbk, ttiz, tpgza, lepgm, ucmqxkzw, mixxml, htends, njixfvv, fodeoaoyf"
693,Project 693 Title,True,False,False,Stanford University,"END, ARTIFICIAL INTELLIGENCE",Disability perspective,Australia,"TECHNOLOGY, TERRITORY",Sub-Saharan Africa,Exhibition,Preliminary Proposal,"mbmxmtwrgb, flhgglu, ukopmhwkt, sozj, yskb, rnedwr, ieexdfvlgb, dttahg, zpgxdp, tanzksos"
694,Project 694 Title,True,False,False,Harvard University,"NATURAL INTELLIGENCE, END, ARTIFICIAL",Under 35 years old,India,SCIENCE,"Outer Space, Non-Spatial or Dislocated","Video, Image or Drawing",In Progress,"zfwmfcd, gntfuf, btbwmssnq, yfvl, hjnejcw, ynassdz, eacn"
695,Project 695 Title,True,False,False,Oxford University,"ARTIFICIAL, INTRO","LGBTQ leadership, Student leadership",Germany,"TECHNOLOGY, PLANET",North America,Image or Drawing,In Progress,"nwgoyoxmp, dricg, vgskas, cfyc, simkmgcnb, bsyeqnzted, mrgsoifyrt, cgic, joxrawarr"
696,Project 696 Title,True,False,False,MIT,"OUT, END, COLLECTIVE INTELLIGENCE","Transnational (immigrant, refugee, multicultural) perspective, Student leadership, Female leadership",South Africa,"SOLIDARITY, BIOMIMICRY, EDUCATION","Oceans, Ice, and Atmosphere, Europe","Augmented Reality, Virtual Reality, or other Experience",In Progress,"dcsapatzdf, amnxnkhky, rcbmhqc"
697,Project 697 Title,True,False,False,Oxford University,"OUT, INTRO","LGBTQ leadership, Insights from the Global South, Female leadership",Germany,"BIOMIMICRY, LOGISTICS",Middle East and North Africa,"Image or Drawing, Video",In Progress,"dxxvfv, adrpnf, wudm, mavc, ipfunwchp, collepync, rqwupr, udfxjrce, mtepcmxz, sbit"
698,Project 698 Title,True,False,False,MIT,"ARTIFICIAL INTELLIGENCE, COLLECTIVE INTELLIGENCE, END","Disability perspective, Student leadership",Japan,"LABOR, PLANET, BIOMIMICRY","Non-Spatial or Dislocated, Oceans, Ice, and Atmosphere",Outdoor Installation,"Complete, published or exhibited before","mxfg, hkhq, zyuotthzen, ulnpigcir, fwceespb, cbbtgyyvn, lgrhki"
699,Project 699 Title,True,False,False,Harvard University,COLLECTIVE,"Insights from the Global South, Student leadership",China,"LABOR, CARE, URBAN","Oceans, Ice, and Atmosphere","Panel or Event, Essay",In Progress,"vmzi, nqusun, oflnjoyaw"
700,Project 700 Title,True,False,False,Harvard University,"END, COLLECTIVE",Student leadership,China,"MATERIALS, URBAN","South America, Oceania",Exhibition,"Complete, unpublished","chawrytja, njhuk, qbcq, guqyapwcdk, urrx, bbtftbgg"
701,Project 701 Title,True,False,False,Stanford University,ARTIFICIAL,"Female leadership, LGBTQ leadership",Canada,"LABOR, URBAN",North America,Other,"Complete, unpublished","mcdjmgvvfc, ozbmofy, vnzka, byhtyrle, kzoobjjiz, vxsgkhozj, xgxibax, bwfd"
702,Project 702 Title,True,False,False,Harvard University,"ARTIFICIAL, ARTIFICIAL INTELLIGENCE, NATURAL","Student leadership, Insights from the Global South",South Africa,"METHOD, WASTE",Caribbean,Outdoor Installation,"Complete, published or exhibited before","hmllqu, qteocu, nvlrxaisf, knfotxi, vdjpmdbvkq, cjiacwfx, bvyfo, djywodj"
703,Project 703 Title,True,False,False,Oxford University,NATURAL,"Insights from the Global South, Transnational (immigrant, refugee, multicultural) perspective",Germany,"BODY, PRACTICE, BIOMIMICRY",Caribbean,Image or Drawing,Preliminary Proposal,"buvwwtqns, nyxmpiwztb, ovtvpbk, ejpnjjiow, kchzi, sldmrhzm, cexfvfzxd"
704,Project 704 Title,True,False,False,MIT,"COLLECTIVE INTELLIGENCE, END, OUT","Disability perspective, Student leadership, Female leadership",Australia,ECOLOGY,Caribbean,"Video, Panel or Event",In Progress,"adnrif, aogqoq, dlxynnvhs"
705,Project 705 Title,True,False,False,Oxford University,INTRO,"Insights from the Global South, Female leadership, Transnational (immigrant, refugee, multicultural) perspective",Canada,"EDUCATION, JUSTICE, WASTE",Europe,"Exhibition, Outdoor Installation","Complete, published or exhibited before","ahkbcm, dlpatt, ymrnatndm, bvgc, dmovs, bqhjj, zctrfmpagk, nkzrgait, rgwskf, rlvfyp"
706,Project 706 Title,True,False,False,Harvard University,"OUT, INTRO, COLLECTIVE INTELLIGENCE","Female leadership, Insights from the Global South, Student leadership",USA,LOGISTICS,"Middle East and North Africa, Caribbean","Augmented Reality, Virtual Reality, or other Experience","Complete, unpublished","ulbkngrej, ybkuxoqqm, brholoo, zoois, sgtexb, xytfk, qaizdpbke"
707,Project 707 Title,True,False,False,Stanford University,"END, ARTIFICIAL INTELLIGENCE, INTRO","Insights from the Global South, LGBTQ leadership, Female leadership",UK,JUSTICE,"Planetary, Non-Spatial or Dislocated",Outdoor Installation,"Complete, published or exhibited before","culnywldg, qiwqiqu, gtcbs"
708,Project 708 Title,True,False,False,Oxford University,ARTIFICIAL INTELLIGENCE,"Insights from the Global South, LGBTQ leadership",Canada,DIGITAL,Non-Spatial or Dislocated,"Outdoor Installation, Model or Maquette","Complete, published or exhibited before","nbtzr, tafp, ufimgibc, ckqgnir, krjhjg"
709,Project 709 Title,True,False,False,Oxford University,END,"Female leadership, Disability perspective, Insights from the Global South",Australia,"BIOMIMICRY, PLANET, KNOWLEDGE",Europe,Panel or Event,"Complete, unpublished","frilwfawtu, aiwadndc, wwqhodjswy, jaxsrdrwmq, brfvhbwm"
710,Project 710 Title,True,False,False,Harvard University,"COLLECTIVE INTELLIGENCE, ARTIFICIAL",Disability perspective,Australia,"ECOLOGY, PRACTICE","South America, Caribbean","Video, Other","Complete, published or exhibited before","wzvsdto, dzwgvg, ukcwf, ofrfn, fvyrodif"
711,Project 711 Title,True,False,False,MIT,NATURAL INTELLIGENCE,"Transnational (immigrant, refugee, multicultural) perspective, LGBTQ leadership, Student leadership",UK,PRACTICE,"Oceans, Ice, and Atmosphere",Outdoor Installation,"Complete, unpublished","uuutiuzn, odnsruq, glnsxw, gcwimdfcu, ehavhivvc, cavhyg, wwtfamhiwh"
712,Project 712 Title,True,False,False,Oxford University,ARTIFICIAL,"Insights from the Global South, Disability perspective",Germany,TECHNOLOGY,"Planetary, Central America",Outdoor Installation,"Complete, unpublished","nvgbmquicu, arerjoq, auzpt, grkwepezc, bxdbabepya, toudjf, iejeo, iomrzw, gtyhgbj, nqvaensguo"
713,Project 713 Title,True,False,False,Oxford University,END,Disability perspective,Canada,"PLANET, CARBON","Oceans, Ice, and Atmosphere, Oceania","Panel or Event, Outdoor Installation","Complete, unpublished","xhsgum, rxchqvnioj, sctl, mrdjf, jcrbo, omhbvht, zassegzg, swboz, vylv"
714,Project 714 Title,True,False,False,Stanford University,"COLLECTIVE, NATURAL, ARTIFICIAL","Transnational (immigrant, refugee, multicultural) perspective, Female leadership",South Africa,"ENERGY, KNOWLEDGE, TERRITORY",Middle East and North Africa,Exhibition,"Complete, unpublished","awjoeugs, soiedfwhhk, kukv, wuofbwk, yshgdgaehp, vrbo, jhtjae, fymj, adtdspe"
715,Project 715 Title,True,False,False,Harvard University,NATURAL,LGBTQ leadership,UK,"DIGITAL, METHOD, SOLIDARITY",Asia,"Other, Video",In Progress,"hatbotkc, cflxxcb, dhuvk, aglomujzzd, cekayc, asuauudh, uoowzbql, hfoepn, zdbjjhwv"
716,Project 716 Title,True,False,False,Oxford University,"INTRO, COLLECTIVE, NATURAL INTELLIGENCE","Insights from the Global South, Disability perspective, Under 35 years old",China,TRADITION,"Oceans, Ice, and Atmosphere, Planetary",Image or Drawing,Preliminary Proposal,"yfzhnq, drhxlef, vbuzvsk, zxgsrrz, zmzareeqnq, fnqso"
717,Project 717 Title,True,False,False,MIT,"NATURAL, NATURAL INTELLIGENCE, ARTIFICIAL","Transnational (immigrant, refugee, multicultural) perspective, LGBTQ leadership, Student leadership",South Africa,TECHNOLOGY,Middle East and North Africa,Image or Drawing,Preliminary Proposal,"mnob, gjaoa, izqxhuh, xxqucju, fgxsescvq, cxmzrzhfq, rqdkpwxtwz, idmbi, lbnogqkbvz"
718,Project 718 Title,True,False,False,INDEPENDENT,"END, NATURAL INTELLIGENCE, COLLECTIVE INTELLIGENCE","Disability perspective, Under 35 years old, Insights from the Global South",Canada,JUSTICE,Planetary,Panel or Event,Preliminary Proposal,"djun, rtwelc, xgjz, pvyydpmkpl, eovw, fxve, csxswo, hfznlknrp, mhqypsmxl"
719,Project 719 Title,True,False,False,Stanford University,"END, ARTIFICIAL",LGBTQ leadership,China,TRADITION,Non-Spatial or Dislocated,"Augmented Reality, Virtual Reality, or other Experience, Panel or Event","Complete, published or exhibited before","qzdt, dhegsesufv, oclt, wsbosjuob, pmemjeaj, kfykib, ymsf, aqkj, msvdol, kdabrpjnc"
720,Project 720 Title,True,False,False,Harvard University,"ARTIFICIAL INTELLIGENCE, NATURAL","LGBTQ leadership, Under 35 years old, Insights from the Global South",Australia,"URBAN, BIOMIMICRY",Asia,"Model or Maquette, Augmented Reality, Virtual Reality, or other Experience",In Progress,"tkjjtazf, tjrokkyj, ncrnf, rcfixn, weure"
721,Project 721 Title,True,False,False,Oxford University,"ARTIFICIAL, ARTIFICIAL INTELLIGENCE","Transnational (immigrant, refugee, multicultural) perspective, Student leadership, LGBTQ leadership",UK,METHOD,Planetary,"Image or Drawing, Other","Complete, unpublished","odnfsyjta, wfxaiqtfrx, liwlvi, yfzprx, anaogzsx, prvofxdb, inegzwse, gapwumh, xnkf"
722,Project 722 Title,True,False,False,INDEPENDENT,"END, OUT","Transnational (immigrant, refugee, multicultural) perspective, Female leadership, Disability perspective",Canada,PUBLIC,Central America,"Video, Augmented Reality, Virtual Reality, or other Experience","Complete, published or exhibited before","ejjheva, hxvympf, mmwvaxppa, fcsqqm, silcm"
723,Project 723 Title,True,False,False,Oxford University,"ARTIFICIAL INTELLIGENCE, END, NATURAL","Under 35 years old, LGBTQ leadership",South Africa,"EDUCATION, DIGITAL, WASTE",Central America,Model or Maquette,"Complete, unpublished","qswufio, kaszb, qloc, tnvt, davicqt, vzzimad, jgcrwgvv"
724,Project 724 Title,True,False,False,Stanford University,"NATURAL INTELLIGENCE, ARTIFICIAL, OUT",Under 35 years old,China,"COMMONS, SCIENCE, BIOMIMICRY",North America,"Outdoor Installation, Essay",In Progress,"bfcqps, pzkmkefbab, espzwyu, jtincit, ptazsfz, qeyl"
725,Project 725 Title,True,False,False,Oxford University,"COLLECTIVE INTELLIGENCE, ARTIFICIAL INTELLIGENCE","LGBTQ leadership, Disability perspective, Student leadership",Australia,CARBON,"Oceania, Oceans, Ice, and Atmosphere",Model or Maquette,"Complete, published or exhibited before","cocjeldl, ddxdhah, ygtxm, vvsydvqk"
726,Project 726 Title,True,False,False,Oxford University,"COLLECTIVE, ARTIFICIAL INTELLIGENCE, ARTIFICIAL",Under 35 years old,Brazil,"TERRITORY, CARE, BIOMIMICRY","Non-Spatial or Dislocated, Sub-Saharan Africa",Essay,"Complete, published or exhibited before","zsgxpoer, jixlv, fjofnyztf, vloy, ntwgpxxj, ytpdctcwm, fvwa, uideqq"
727,Project 727 Title,True,False,False,MIT,"ARTIFICIAL, COLLECTIVE INTELLIGENCE",Under 35 years old,South Africa,BIOMIMICRY,"Central America, Sub-Saharan Africa","Panel or Event, Outdoor Installation","Complete, published or exhibited before","cieidnvy, dwxsh, qwxbz, blwh"
728,Project 728 Title,True,False,False,MIT,COLLECTIVE INTELLIGENCE,"Disability perspective, Transnational (immigrant, refugee, multicultural) perspective",Germany,"EDUCATION, ECOLOGY, LABOR",Oceania,Video,"Complete, unpublished","ytkq, fiefgb, cfpib"
729,Project 729 Title,True,False,False,Harvard University,"INTRO, NATURAL INTELLIGENCE","Student leadership, Disability perspective",South Africa,"ENERGY, PUBLIC","Outer Space, Oceans, Ice, and Atmosphere",Video,Preliminary Proposal,"ztdydddzg, fcureuw, kbnxn"
730,Project 730 Title,True,False,False,Harvard University,"COLLECTIVE, INTRO, NATURAL","Under 35 years old, Insights from the Global South",Brazil,"TECHNOLOGY, SCIENCE, PLANET",Outer Space,Other,"Complete, published or exhibited before","asedbzls, slvikxpau, vyvhj, pdxzkdlfu, tjfma, rkji, avfxgsturx, mctvkx, drkdvuhokc"
731,Project 731 Title,True,False,False,INDEPENDENT,COLLECTIVE INTELLIGENCE,"Transnational (immigrant, refugee, multicultural) perspective",Brazil,"WASTE, LABOR",Planetary,Other,"Complete, unpublished","wumzmh, dggfa, neizukh, zkhl, fulksbbd, diycjukerr"
732,Project 732 Title,True,False,False,Stanford University,"ARTIFICIAL, END","Under 35 years old, Disability perspective, Transnational (immigrant, refugee, multicultural) perspective",Canada,DIGITAL,"Oceans, Ice, and Atmosphere, Outer Space","Exhibition, Augmented Reality, Virtual Reality, or other Experience",Preliminary Proposal,"hfirdz, fbgjsjvq, hrrudr, srbxwn, sqtmexzrv, hblhcqkhw, wxptdclz, sztvo, lxoais, lvekjloe"
733,Project 733 Title,True,False,False,INDEPENDENT,"COLLECTIVE INTELLIGENCE, COLLECTIVE, NATURAL INTELLIGENCE","Disability perspective, Under 35 years old, LGBTQ leadership",India,TERRITORY,"Outer Space, South America","Other, Video",In Progress,"jcuggrm, tidt, tpedsv, odrhse"
734,Project 734 Title,True,False,False,MIT,"COLLECTIVE, INTRO",Disability perspective,China,ENERGY,"Sub-Saharan Africa, North America",Outdoor Installation,"Complete, unpublished","zcidh, lfydcye, nnlt, yisgijfc, eykdcandft"
735,Project 735 Title,True,False,False,Stanford University,"ARTIFICIAL, COLLECTIVE","Insights from the Global South, Female leadership",India,"MATERIALS, TERRITORY, LABOR",Central America,"Augmented Reality, Virtual Reality, or other Experience","Complete, unpublished","kzyfghae, icana, afnwmb, alyvolo, soxaowqqrh, kpkh"
736,Project 736 Title,True,False,False,Stanford University,"ARTIFICIAL, INTRO","Transnational (immigrant, refugee, multicultural) perspective, Under 35 years old, Disability perspective",Japan,"SOLIDARITY, TERRITORY, CONSTRUCTION",Europe,"Image or Drawing, Panel or Event","Complete, unpublished","naowe, bfexevmaf, ymne, yaxvyfei, tkmoqw, gljrhsy, aoxzsn, vecrdi, netzgkjo, xpbciok"
737,Project 737 Title,True,False,False,Stanford University,END,"Student leadership, Disability perspective, LGBTQ leadership",Germany,"PLANET, SOLIDARITY","Non-Spatial or Dislocated, Asia",Exhibition,"Complete, published or exhibited before","epbpdec, ynvyrkg, heqejiyu, xjfifhp, eybfdyitej, rogrynz"
738,Project 738 Title,True,False,False,Harvard University,"ARTIFICIAL INTELLIGENCE, INTRO",Female leadership,China,"MATERIALS, WASTE",Sub-Saharan Africa,"Exhibition, Video","Complete, unpublished","rduivwqf, axkjexb, plxi, kwybb, yuftyjw, kmbtv, zoupxf, logmvhn, vzwmpyqmt, ferxmzum"
739,Project 739 Title,True,False,False,Harvard University,"NATURAL, OUT",Insights from the Global South,USA,"TRADITION, WASTE, BIOMIMICRY","Non-Spatial or Dislocated, South America","Panel or Event, Outdoor Installation",Preliminary Proposal,"cdjmfydzyi, klyo, dwfimkhks, tstqq, elicw, vjun, lqxbitw"
740,Project 740 Title,True,False,False,MIT,"ARTIFICIAL, ARTIFICIAL INTELLIGENCE, COLLECTIVE","Disability perspective, LGBTQ leadership",Australia,"SCIENCE, LOGISTICS","Caribbean, Middle East and North Africa",Panel or Event,Preliminary Proposal,"mbige, ccestxeb, fpyndas, dhvgyi, exnhlv"
741,Project 741 Title,True,False,False,Harvard University,"NATURAL INTELLIGENCE, INTRO, ARTIFICIAL INTELLIGENCE","Insights from the Global South, Transnational (immigrant, refugee, multicultural) perspective",UK,"LOGISTICS, TRADITION",Europe,"Panel or Event, Other",In Progress,"jvykidbpsl, ulnd, cgrpdmuh, lowv, fqneorets, sadfb, yxwvw, pyfbfklcc, jubgtsum, ndebehh"
742,Project 742 Title,True,False,False,INDEPENDENT,"NATURAL INTELLIGENCE, INTRO",Student leadership,China,DIGITAL,Asia,"Essay, Exhibition",Preliminary Proposal,"nkqxj, jevkdowf, qmltwxot"
743,Project 743 Title,True,False,False,Oxford University,"ARTIFICIAL INTELLIGENCE, INTRO","Disability perspective, Transnational (immigrant, refugee, multicultural) perspective, Female leadership",Japan,"KNOWLEDGE, PUBLIC, WASTE","Outer Space, Planetary",Essay,In Progress,"agvmayoet, wgoiqm, yehjddlmss, xuflplo, izildyzpo, rnbhydvnnr"
744,Project 744 Title,True,False,False,MIT,"INTRO, ARTIFICIAL INTELLIGENCE","Under 35 years old, Insights from the Global South, Female leadership",India,ENERGY,Oceania,Image or Drawing,"Complete, published or exhibited before","ngqgjai, dwwf, nxqtf, vooemip, vsqriw"
745,Project 745 Title,True,False,False,Stanford University,"NATURAL, COLLECTIVE",Disability perspective,China,CONSTRUCTION,"Caribbean, Outer Space","Panel or Event, Other",In Progress,"egkkhhm, midytd, jnxjep, sbcdm, dmbbyvt, xcaaumrjz, rmkmmp"
746,Project 746 Title,True,False,False,MIT,NATURAL,"Under 35 years old, Disability perspective",Australia,"WASTE, METHOD",Central America,Outdoor Installation,"Complete, unpublished","kdivdcm, zcsf, dsscwalrn, pbehbvbucw, tzuje, ijpui"
747,Project 747 Title,True,False,False,MIT,"ARTIFICIAL, ARTIFICIAL INTELLIGENCE, COLLECTIVE INTELLIGENCE","Transnational (immigrant, refugee, multicultural) perspective",UK,"LOGISTICS, KNOWLEDGE, TECHNOLOGY","Non-Spatial or Dislocated, Europe",Video,In Progress,"zbefczsryd, pmaiv, ytuj, bpxzpyenh, wpdtwqoh, djiscww, feqmwatxn, mxjcvxqluo"
748,Project 748 Title,True,False,False,Harvard University,COLLECTIVE INTELLIGENCE,Disability perspective,Germany,"SCIENCE, KNOWLEDGE","Oceans, Ice, and Atmosphere","Panel or Event, Augmented Reality, Virtual Reality, or other Experience","Complete, unpublished","yteh, gkndkyzbn, vtydor, wtjtkf, eseo, swsuqutuwq, bfiiahdg"
749,Project 749 Title,True,False,False,Oxford University,ARTIFICIAL,"Student leadership, LGBTQ leadership",UK,"CARBON, ENERGY, CONSTRUCTION",Caribbean,"Outdoor Installation, Video",Preliminary Proposal,"ndao, utjxyea, qtyot, pqpis, ixqycyimiz, jwfagdgjw, zqnp"
750,Project 750 Title,True,False,False,Harvard University,END,"Transnational (immigrant, refugee, multicultural) perspective, Female leadership, Disability perspective",South Africa,"JUSTICE, TRADITION, CARE","Planetary, Asia",Model or Maquette,"Complete, unpublished","mvoo, yqjzr, nccxthp, ikivsf, jxxne, qdwmcoidm"
751,Project 751 Title,True,False,False,MIT,"ARTIFICIAL, COLLECTIVE, ARTIFICIAL INTELLIGENCE","Disability perspective, LGBTQ leadership, Female leadership",Brazil,"TERRITORY, ECOLOGY, URBAN",Europe,Panel or Event,"Complete, published or exhibited before","uckxfwdff, wuftv, dyajugk, qvbqyey"
752,Project 752 Title,True,False,False,MIT,"NATURAL, OUT, COLLECTIVE INTELLIGENCE","Under 35 years old, Insights from the Global South",Canada,"CARBON, MATERIALS","Non-Spatial or Dislocated, Asia","Augmented Reality, Virtual Reality, or other Experience","Complete, published or exhibited before","tlwmacqobd, gwtbq, hrileoxie, prvsoaehf, uvrc, xvsbw, dfitnik, vaqcqs, ngfob"
753,Project 753 Title,True,False,False,Stanford University,ARTIFICIAL INTELLIGENCE,Female leadership,China,"DIGITAL, ENERGY, TERRITORY","Oceans, Ice, and Atmosphere","Augmented Reality, Virtual Reality, or other Experience",Preliminary Proposal,"tthknxp, vmfumjmqlg, grejjrmlx, yggsqxb, ipqtoqy, jmyjb, xftmzgn"
754,Project 754 Title,True,False,False,Stanford University,ARTIFICIAL,"Insights from the Global South, Disability perspective, Female leadership",Australia,TRADITION,"Sub-Saharan Africa, Outer Space",Exhibition,Preliminary Proposal,"uwbrbfyxok, jowtvfwk, luykcddxd"
755,Project 755 Title,True,False,False,INDEPENDENT,INTRO,Insights from the Global South,Germany,"SCIENCE, BIOMIMICRY","Outer Space, Caribbean","Model or Maquette, Exhibition","Complete, published or exhibited before","esqjn, sxuunxrzf, iavwx, qlxdlvqq, tvydzrm, kalctqej, xftn, vkccw, qlgffn, berrbe"
756,Project 756 Title,True,False,False,Stanford University,NATURAL,"Under 35 years old, Student leadership",UK,PUBLIC,Planetary,Image or Drawing,"Complete, unpublished","wxhvhfawxx, sisprpa, nqnobrb, anthmhjv, ddsjr, tiwnnogrg, hlzjhpsasp"
757,Project 757 Title,True,False,False,INDEPENDENT,"OUT, COLLECTIVE INTELLIGENCE, ARTIFICIAL INTELLIGENCE","LGBTQ leadership, Under 35 years old, Insights from the Global South",Australia,TECHNOLOGY,"Oceans, Ice, and Atmosphere, Europe","Outdoor Installation, Image or Drawing",Preliminary Proposal,"giecrqru, gwbteusc, zigtanqci, hcebmnb"
758,Project 758 Title,True,False,False,Harvard University,"NATURAL INTELLIGENCE, END, ARTIFICIAL INTELLIGENCE",Female leadership,USA,"METHOD, KNOWLEDGE","Sub-Saharan Africa, Non-Spatial or Dislocated",Other,In Progress,"pick, eewdpz, mpwd, iywbiqsbvf, clzl, eiwbco"
759,Project 759 Title,True,False,False,INDEPENDENT,"NATURAL INTELLIGENCE, OUT",Disability perspective,Canada,TERRITORY,"Oceania, Planetary",Exhibition,Preliminary Proposal,"tghgyqgh, bddqirrex, qarafwhhls, qhgl, qxsnf, zjzlapch, qryx, crywvnlp, qftigg"
760,Project 760 Title,True,False,False,Stanford University,"ARTIFICIAL INTELLIGENCE, COLLECTIVE INTELLIGENCE","Transnational (immigrant, refugee, multicultural) perspective, Disability perspective, Female leadership",China,"BODY, COMMONS, TECHNOLOGY",Asia,Outdoor Installation,Preliminary Proposal,"xnwmg, xuyxc, ovvz, mxiljhvvd, knlduj, dqakjnmse, ubfehne"
761,Project 761 Title,True,False,False,Harvard University,"ARTIFICIAL INTELLIGENCE, NATURAL INTELLIGENCE",LGBTQ leadership,Germany,BIOMIMICRY,"Europe, Oceania","Essay, Model or Maquette",Preliminary Proposal,"ntdevly, csyourtlc, swsulrcb, enkxd, lhdaocrpw, pverxeda, vvpjewywp, mdsys"
762,Project 762 Title,True,False,False,Oxford University,"COLLECTIVE, NATURAL, ARTIFICIAL","Disability perspective, Transnational (immigrant, refugee, multicultural) perspective, Student leadership",South Africa,TERRITORY,"Sub-Saharan Africa, Europe",Essay,In Progress,"kkkcbr, upojwnah, qkvsifnqke, axnzuprcu, azjl"
763,Project 763 Title,True,False,False,MIT,"INTRO, COLLECTIVE","Student leadership, Transnational (immigrant, refugee, multicultural) perspective",Japan,"COMMONS, SCIENCE","Oceans, Ice, and Atmosphere","Image or Drawing, Other",Preliminary Proposal,"veqb, rbwgpmpo, vlrupnt, vcvxpg, zrnzdpapql, kohs, vyfrpeu"
764,Project 764 Title,True,False,False,Oxford University,"INTRO, OUT","Student leadership, LGBTQ leadership",Canada,PUBLIC,Planetary,Image or Drawing,"Complete, unpublished","nelwvhtcc, adxfst, jzyesct, kaindageh, acorlzvy, yermp, xklvjv, zchxnsmwk, lrzn, siqsu"
765,Project 765 Title,True,False,False,INDEPENDENT,"INTRO, ARTIFICIAL, OUT","Student leadership, Disability perspective, Female leadership",China,"PUBLIC, LABOR, TRADITION","Oceans, Ice, and Atmosphere","Panel or Event, Other",In Progress,"rlhhks, fjzumck, rilvj, mjqttnkn, fzdlpqhipf, wmuro, bdrwq, hmdhutkdth"
766,Project 766 Title,True,False,False,Harvard University,"OUT, ARTIFICIAL INTELLIGENCE",LGBTQ leadership,China,"KNOWLEDGE, DIGITAL, SCIENCE","Caribbean, Non-Spatial or Dislocated","Other, Outdoor Installation","Complete, unpublished","zgrkrkyn, bxkicnivb, dduflq, sdmrhbr, byzodg, dcvvkx, ohwhedmund, ycojrlu, emjrxypqc"
767,Project 767 Title,True,False,False,INDEPENDENT,OUT,"LGBTQ leadership, Disability perspective, Under 35 years old",Australia,PRACTICE,"North America, Outer Space","Panel or Event, Other",Preliminary Proposal,"isau, trzbetad, uzjgx, soivepirph, yhtoqzpo, arzjahgkzs"
768,Project 768 Title,True,False,False,MIT,"COLLECTIVE, ARTIFICIAL INTELLIGENCE, NATURAL",Insights from the Global South,South Africa,COMMONS,"Outer Space, North America","Other, Video",Preliminary Proposal,"seifhh, ksvapva, ehdr"
